t,s,mode,dos,fdi,x,y,xd,yd,x_dos,y_dos,x_fdi,y_fdi,v_out,w_out,d_perp,r_eff,r,r_ema,alarm
0.0,0.0,main,0,0,-1.238770618137443,3.0104097939541856,-1.24,3.01,-1.238770618137443,3.0104097939541856,-1.238770618137443,3.0104097939541856,0.025917645331869386,0.19999998635913407,0.0,0.32,0.00516520158741711,0.004453938365282694,0
0.05,2.8928103254262448e-05,main,0,0,-1.237588288624378,3.0108170851628495,-1.2396311854416018,3.0101229381861323,-1.237588288624378,3.0108170851628495,-1.237588288624378,3.0108170851628495,0.025010311522405564,0.19550630692803067,-4.993704493003333e-06,0.32,0.005045095314908953,0.004572169755207946,0
0.1,7.709175807735023e-05,main,0,0,-1.2364384205767767,3.011225811058095,-1.2390171300737716,3.0103276233087426,-1.2364384205767767,3.011225811058095,-1.2364384205767767,3.011225811058095,0.02440699395123349,0.19492863765505494,-9.69935404691451e-06,0.32,0.005023692565795062,0.004662474317325369,0
0.15000000000000002,0.0001380429724826403,main,0,0,-1.2353114252331578,3.01163882216331,-1.238240041613213,3.010586652795596,-1.2353114252331578,3.01163882216331,-1.2353114252331578,3.01163882216331,0.024005804944380548,0.19687423436771467,-1.3815880854647499e-05,0.32,0.005066099266323146,0.0047431993071249245,0
0.2,0.00020749134089722996,main,0,0,-1.2342010561624557,3.0120581835957303,-1.2373546199489174,3.010881793350361,-1.2342010561624557,3.0120581835957303,-1.2342010561624557,3.0120581835957303,0.023738437051951528,0.2,-1.460883234943454e-05,0.32,0.005138947702027607,0.004822348986105462,0
0.25,0.00028258044155092744,main,0,0,-1.2331032863594509,3.0124853781033796,-1.2363972826062404,3.01120090579792,-1.2331032863594509,3.0124853781033796,-1.2331032863594509,3.0124853781033796,0.02355923333009824,0.2,-9.290237247898208e-06,0.32,0.005136885601972643,0.004885256309278899,0
0.30000000000000004,0.00036140652828832274,main,0,0,-1.2320154857566303,3.012921267800064,-1.2353923011142016,3.0115358996285995,-1.2320154857566303,3.012921267800064,-1.2320154857566303,3.012921267800064,0.023437661821710906,0.2,4.313555863228965e-06,0.32,0.005135495105554205,0.0049353040685339595,0
0.35000000000000003,0.00044269876299933873,main,0,0,-1.2309359982274395,3.0133664053806415,-1.2343558778346444,3.0118813740551187,-1.2309359982274395,3.0133664053806415,-1.2309359982274395,3.0133664053806415,0.023353293483541163,0.2,2.7507328969578757e-05,0.32,0.005134534135763438,0.004975150081979855,0
0.4,0.0005256065332797762,main,0,0,-1.2298638170605924,3.013821127432816,-1.2332988575241521,3.012233714158616,-1.2298638170605924,3.013821127432816,-1.2298638170605924,3.013821127432816,0.023292441686309187,0.2,6.106680731009164e-05,0.32,0.005133843063366289,0.005006888678257142,0
0.45,0.0006095581061569241,main,0,0,-1.228798369365534,3.0142856186049305,-1.2322285294073936,3.0125904901975353,-1.228798369365534,3.0142856186049305,-1.228798369365534,3.0142856186049305,0.023245910090833963,0.2,0.00010539842249149929,0.32,0.0051333157744168295,0.0050321740974890805,0
0.5,0.0006941667044332554,main,0,0,-1.2277393728869637,3.0147599556133104,-1.231149824642836,3.012950058452388,-1.2277393728869637,3.0147599556133104,-1.2277393728869637,3.0147599556133104,0.023207491369324682,0.2,0.00016066470585714273,0.32,0.005132881173292651,0.005052315512649795,0
0.55,0.0007791681031001094,main,0,0,-1.226686740866484,3.015244137356376,-1.2300661119280063,3.013311296023998,-1.226686740866484,3.015244137356376,-1.226686740866484,3.015244137356376,0.023172968138387942,0.2,0.00022687161101445238,0.32,0.005132491220728575,0.005068350654265551,0
0.6000000000000001,0.0008643791742052624,main,0,0,-1.225640518745192,3.0157381054854024,-1.228979726025548,3.0136734246581507,-1.225640518745192,3.0157381054854024,-1.225640518745192,3.0157381054854024,0.023139448909383922,0.2,0.0003039252979410189,0.32,0.005132113135889907,0.005081103150590422,0
0.65,0.0009496703539568691,main,0,0,-1.224600841947429,3.0162417584393073,-1.2278923187897925,3.0140358937367355,-1.224600841947429,3.0162417584393073,-1.224600841947429,3.0162417584393073,0.023104927109026376,0.2,0.00039166734265307394,0.32,0.005131724285440778,0.0050912273775604935,0
0.7000000000000001,0.0010349473628069748,main,0,0,-1.2235679076123036,3.0167549610162325,-1.2268050922238425,3.0143983025920527,-1.2235679076123036,3.0167549610162325,-1.2235679076123036,3.0167549610162325,0.02306798843110417,0.2,0.00048989576416708,0.32,0.005131308821893553,0.005099243666427106,0
0.75,0.001120139075734561,main,0,0,-1.2225419555491965,3.0172775509068015,-1.2257189531255954,3.014760348958135,-1.2225419555491965,3.0172775509068015,-1.2225419555491965,3.0172775509068015,0.023027616720090086,0.2,0.0005983771975000365,0.32,0.005130855467611369,0.005105566026663958,0
0.8,0.0012051894808788176,main,0,0,-1.2215232552922046,3.0178093431662716,-1.2246346156099563,3.015121794796681,-1.2215232552922046,3.0178093431662716,-1.2215232552922046,3.0178093431662716,0.022983065250983776,0.2,0.0007168537875611141,0.32,0.005130356052052003,0.005110524031741568,0
0.8500000000000001,0.0012900523563073116,main,0,0,-1.2205120971880201,3.018350133294287,-1.2235526689765917,3.015482443674469,-1.2205120971880201,3.018350133294287,-1.2205120971880201,3.018350133294287,0.0229337713794937,0.2,0.000845047090140733,0.32,0.00512980454542041,0.005114380134477337,0
0.9,0.0013746877542311002,main,0,0,-1.2195087861533387,3.018899699378767,-1.222473622533907,3.015842125822031,-1.2195087861533387,3.018899699378767,-1.2195087861533387,3.018899699378767,0.02287929993268299,0.2,0.0009826603869412393,0.32,0.005129196419861813,0.0051173433915542325,0
0.9500000000000001,0.0014590596872921977,main,0,0,-1.2185136372020844,3.019457803614808,-1.221397935097381,3.0162006883008727,-1.2185136372020844,3.019457803614808,-1.2185136372020844,3.019457803614808,0.02281930562895549,0.2,0.0011293802486203389,0.32,0.005128528226837436,0.005119580358610874,0
