t,s,attack_dos,x,y,xd,yd,x_dos,y_dos,mode,v_out,w_out,d_hat
0.0,0.0,0,-2.4925,1.0,-2.5,1.0,-2.4925,1.0,main,0.15,0.0,1.9
0.05,0.0005357142717842046,0,-2.4850000000000003,1.0,-2.4962500000975103,1.0,-2.4850000000000003,1.0,main,0.15,0.0,1.8997750031581675
0.1,0.0013392857039298963,0,-2.4775000000000005,1.0,-2.490625000072491,1.0,-2.4775000000000005,1.0,main,0.15,0.0,1.8994375138321915
0.15000000000000002,0.0022767856917869467,0,-2.4700000000000006,1.0,-2.484062500157491,1.0,-2.4700000000000006,1.0,main,0.15,0.0,1.8990437807794105
0.2,0.0032812499819690616,0,-2.462500000000001,1.0,-2.477031250126217,1.0,-2.462500000000001,1.0,main,0.15,0.0,1.898621926627665
0.25,0.004319196398844323,0,-2.455000000000001,1.0,-2.46976562520809,1.0,-2.455000000000001,1.0,main,0.15,0.0,1.8981860121268053
0.30000000000000004,0.0053738839035355436,0,-2.447500000000001,1.0,-2.4623828126752514,1.0,-2.447500000000001,1.0,main,0.15,0.0,1.8977430675093954
0.35000000000000003,0.006436941927665358,0,-2.4400000000000013,1.0,-2.4549414065063426,1.0,-2.4400000000000013,1.0,main,0.15,0.0,1.8972966078415094
0.4,0.007504185235983855,0,-2.4325000000000014,1.0,-2.447470703348113,1.0,-2.4325000000000014,1.0,main,0.15,0.0,1.8968483906562552
0.45,0.008573521186396692,0,-2.4250000000000016,1.0,-2.4399853516952232,1.0,-2.4250000000000016,1.0,main,0.15,0.0,1.8963992947176074
0.5,0.009643903433387316,0,-2.4175000000000018,1.0,-2.432492675966289,1.0,-2.4175000000000018,1.0,main,0.15,0.0,1.89594975939663
0.55,0.010714808853136217,0,-2.410000000000002,1.0,-2.4249963380280466,1.0,-2.410000000000002,1.0,main,0.15,0.0,1.8955000043889676
