t,s,mode,dos,fdi,x,y,xd,yd,x_dos,y_dos,x_fdi,y_fdi,v_out,w_out,d_perp,r_eff,r,r_ema,alarm
0.0,0.0,main,0,0,-2.7978787019040854,2.7928062461545955,-2.8,2.8,-2.7978787019040854,2.7928062461545955,-2.7978787019040854,2.7928062461545955,0.15,0.0007628501475289539,0.0,0.12,0.007500024247475271,0.001506590162985279,0
0.05,0.00022660633846433131,main,0,0,-2.795757129421905,2.7856125732260524,-2.799363610571378,2.797841873846896,-2.795757129421905,2.7856125732260524,-2.795757129421905,2.7856125732260524,0.15,0.0007364507561516718,-6.007444832431888e-08,0.12,0.007500022598287464,0.0027052766500457164,0
0.1,0.0006118371136888559,main,0,0,-2.7936352920518694,2.778418978424069,-2.798281748543184,2.7941730593881897,-2.7936352920518694,2.778418978424069,-2.7936352920518694,2.778418978424069,0.15,0.000719354978500642,1.0327087737477952e-08,0.12,0.007500021561284962,0.0036642256322935657,0
0.15000000000000002,0.0011081049941736158,main,0,0,-2.791513195945795,2.7712254599444526,-2.7968880556966145,2.789446763120055,-2.791513195945795,2.7712254599444526,-2.791513195945795,2.7712254599444526,0.15,0.0007085130412363952,2.0496336737303028e-07,0.12,0.007500020916251383,0.004431384689085129,0
0.2,0.0016820988475829655,main,0,0,-2.7893908450059692,2.7640320166459884,-2.7952760812793103,2.7839802295925367,-2.7893908450059692,2.7640320166459884,-2.7893908450059692,2.7640320166459884,0.15,0.0007018301927720427,5.507552395885192e-07,0.12,0.007500020523539238,0.005045111855975951,0
0.25,0.0023105008810067936,main,0,0,-2.7872682416386656,2.7568386478284514,-2.793511309765391,2.7779955299932837,-2.7872682416386656,2.7568386478284514,-2.7872682416386656,2.7568386478284514,0.15,0.0006978672274563662,1.0793976167782285e-06,0.12,0.0075000202924171335,0.005536093543264188,0
0.30000000000000004,0.002976988639137405,main,0,0,-2.7851453872718364,2.74964535308006,-2.7916395802875025,2.7716481141562306,-2.7851453872718364,2.74964535308006,-2.7851453872718364,2.74964535308006,0.15,0.0006956362240666588,1.8176522970812445e-06,0.12,0.007500020162879566,0.005928878867187264,0
0.35000000000000003,0.0036701364029900797,main,0,0,-2.7830222827104714,2.7424521321727395,-2.789692980239252,2.7650467969676944,-2.7830222827104714,2.7424521321727395,-2.7830222827104714,2.7424521321727395,0.15,0.0006944605116545087,2.7852978801467046e-06,0.12,0.007500020094781558,0.006243107112706123,0
0.4,0.004381946169005954,main,0,0,-2.780898928379993,2.7352589849903697,-2.787693970796921,2.758267748850665,-2.780898928379993,2.7352589849903697,-2.780898928379993,2.7352589849903697,0.15,0.000693878321737176,3.995855159501065e-06,0.12,0.007500020061103172,0.006494489702385533,0
0.45,0.005106819427259695,main,0,0,-2.7787753244923477,2.728065911479806,-2.7856582745239504,2.751364288219668,-2.7787753244923477,2.728065911479806,-2.7787753244923477,2.728065911479806,0.15,0.0006935763385481575,5.45803884176993e-06,0.12,0.007500020043645465,0.00669559577063752,0
