run_id,path_name,rng_seed,total_time,dt,n_dos_windows,total_dos_time,mean_error_dt,max_error_dt,final_error_dt,cumulative_error_dt,mean_error_ghost,max_error_ghost,final_error_ghost,cumulative_error_ghost,improvement_percent,tube_violations,time_in_dt_mode,dt_mode_ratio
circle_run000,circle,42,120.0,0.05,7,55.35,0.19494631641053675,0.4782686557124874,0.35532086504900556,23.384487447638186,1.9070781778441634,2.718931177507995,2.718931177507995,228.78122056186191,89.77866828832873,0,55.35,0.46125
circle_run001,circle,43,120.0,0.05,8,53.400000000000006,0.19628458612530245,0.482469683322254,0.22266803007802122,23.548396134284342,2.0855072918844075,2.7571867066812663,2.7571867066812663,250.19175785846187,90.58786095279521,0,53.400000000000006,0.445
circle_run002,circle,44,120.0,0.05,8,50.85,0.18670013149680506,0.45859470111910244,0.23389706990317408,22.39798085286903,2.1419517105069668,2.9949927328345964,2.9949927328345964,256.95914294251514,91.28344662253186,0,50.85,0.42375
circle_run003,circle,45,120.0,0.05,8,50.85,0.1864872610115369,0.4405333089591266,0.2527828425615534,22.37196425032039,2.195955081190159,2.9404184402628575,2.9404184402628575,263.44091178181253,91.50778666115104,0,50.85,0.42375
circle_run004,circle,46,120.0,0.05,8,52.6,0.18689486875351707,0.45035167302971923,0.3540701886159319,22.418344995706654,2.1839271578767327,3.005997313117677,3.005997313117677,261.99592151238005,91.44324657181836,0,52.6,0.43833333333333335
circle_run005,circle,47,120.0,0.05,8,49.150000000000006,0.17936424143312424,0.40989761348685866,0.2051749186030649,21.518392099009834,2.2439330677727707,3.120892510602273,3.120892510602273,269.19375831996746,92.00635548412947,0,49.150000000000006,0.40958333333333335
circle_run006,circle,48,120.0,0.05,7,52.35,0.18151859957160815,0.4683595857129405,0.20494608561899627,21.7769207964525,1.9575647796798838,2.8528319756703646,2.8528319756703646,234.83626526219427,90.72676412557549,0,52.35,0.43625
circle_run007,circle,49,120.0,0.05,8,45.050000000000004,0.1715349237085264,0.39772700100000435,0.22001395210543967,20.578502996220532,1.845046237434712,2.6440882574716214,2.6440882574716214,221.33925878572865,90.70273248897887,0,45.050000000000004,0.3754166666666667
circle_run008,circle,50,120.0,0.05,7,44.1,0.18712790880581967,0.44044331395720265,0.22394094039819326,22.449563033188408,1.9578823640658174,2.7661136006174707,2.7661136006174707,234.8765433478826,90.441973168884,0,44.1,0.3675
circle_run009,circle,51,120.0,0.05,7,45.6,0.18620884784868322,0.45584118234926047,0.2181033423813897,22.33942165828245,2.0852815880835873,2.7756197653016157,2.7756197653016157,250.16421257589795,91.07009694621894,0,45.6,0.38
circle_run010,circle,52,120.0,0.05,8,53.5,0.19855550907012162,0.48259990859862134,0.32634974016035223,23.818314844910585,2.1275426437849765,2.953157425552722,2.953157425552722,255.2311008185584,90.66794181096182,0,53.5,0.44583333333333336
circle_run011,circle,53,120.0,0.05,7,52.45,0.18497646664899128,0.4719874841533448,0.20499339338420483,22.191863663044348,1.8990525262048759,2.7895990892755433,2.7895990892755433,227.8163756673532,90.25888125994601,0,52.45,0.4370833333333333
circle_run012,circle,54,120.0,0.05,8,55.5,0.19431817849972183,0.4748293865897997,0.26522834359309333,23.311363211376793,2.1010431310911093,2.969735394369178,2.969735394369178,252.05074484607388,90.75132143504955,0,55.5,0.4625
circle_run013,circle,55,120.0,0.05,7,47.85,0.18574046049523502,0.47619713167098676,0.20897475306779417,22.283443390601505,1.9048998382628193,2.7856209785265493,2.7856209785265493,228.51815256707516,90.24872066386025,0,47.85,0.39875
circle_run014,circle,56,120.0,0.05,7,48.5,0.18704531742762073,0.45663255349598325,0.20386104171432637,22.440154065271635,2.126086743423896,2.9387477612473316,2.9387477612473316,255.05675301683635,91.2018976953767,0,48.5,0.4041666666666667
circle_run015,circle,57,120.0,0.05,7,47.650000000000006,0.18072483894941757,0.4408532775407488,0.21001273673734258,21.681542855511676,1.9207397811974074,2.818371777205077,2.818371777205077,230.41812694925878,90.59034844932741,0,47.650000000000006,0.39708333333333334
circle_run016,circle,58,120.0,0.05,9,49.300000000000004,0.18191846927999264,0.38204168414076556,0.22446560224330478,21.824417173543033,2.1258319647634685,2.9422223367282685,2.9422223367282685,255.026092713198,91.44228069318116,0,49.300000000000004,0.41083333333333333
circle_run017,circle,59,120.0,0.05,8,53.5,0.19346317454969456,0.4554941316222589,0.4554941316222589,23.204006092672792,1.9971087839793138,2.7127109445993933,2.7127109445993933,239.58504880390274,90.31491897824353,0,53.5,0.44583333333333336
circle_run018,circle,60,120.0,0.05,7,43.800000000000004,0.17383800067314326,0.4327276842473735,0.23529981129630245,20.85449008549478,1.7897397718824035,2.644195380339088,2.644195380339088,214.70248024137993,90.28679591309375,0,43.800000000000004,0.365
circle_run019,circle,61,120.0,0.05,8,47.95,0.18537088632948137,0.4703328116455425,0.23505056112297962,22.238442595509685,2.119315197902648,2.942175042698873,2.942175042698873,254.24408187225026,91.25311298035098,0,47.95,0.39958333333333335
circle_run020,circle,62,120.0,0.05,7,50.550000000000004,0.18524984710856895,0.46304800794921525,0.21116941362570843,22.224514917687628,1.8348427681590913,2.8098678604890934,2.8098678604890934,220.1106979825787,89.90302828468307,0,50.550000000000004,0.42125
circle_run021,circle,63,120.0,0.05,7,52.800000000000004,0.18978867498423888,0.47400680568588305,0.22820205436447477,22.768748446749555,1.898724531213353,3.0046532507428836,3.0046532507428836,227.77163991433378,90.0036947289342,0,52.800000000000004,0.44
circle_run022,circle,64,120.0,0.05,7,47.85,0.18212835332531052,0.4438109080596012,0.21604227700540954,21.849813842112127,1.9003208987366216,2.65914991144642,2.65914991144642,227.97184160060843,90.4155646203045,0,47.85,0.39875
circle_run023,circle,65,120.0,0.05,7,50.75,0.19411714114178727,0.47592615605104027,0.2151825330835682,23.288489873687386,1.969918954559981,2.7540462953112304,2.7540462953112304,236.32123588981494,90.1454095794651,0,50.75,0.42291666666666666
circle_run024,circle,66,120.0,0.05,7,52.35,0.18362464684362437,0.4484176094946513,0.21295739462658786,22.029446186369256,1.9114981459384375,2.562534965763308,2.562534965763308,229.3155266384684,90.39339092764523,0,52.35,0.43625
circle_run025,circle,67,120.0,0.05,7,47.85,0.18711099019665106,0.4510018624136225,0.283411893976825,22.44604602624871,1.9703505296869757,2.6583044116523773,2.6583044116523773,236.37541845214577,90.50406925845678,0,47.85,0.39875
circle_run026,circle,68,120.0,0.05,8,57.95,0.1958856501099345,0.4603536185042296,0.2314857303718866,23.500303369932844,2.232378193312436,3.0838059852027566,3.0838059852027566,267.80810054786224,91.22494677276093,0,57.95,0.48291666666666666
circle_run027,circle,69,120.0,0.05,7,48.85,0.19291509773624094,0.4693613147107672,0.21227682028169587,23.14431730784187,1.9066199034439615,2.7308117049619014,2.7308117049619014,228.72593062065135,89.88120094427448,0,48.85,0.40708333333333335
circle_run028,circle,70,120.0,0.05,7,49.25,0.19153789454240333,0.4487333298543303,0.22505716491416025,22.978733415965547,1.9642088071713881,2.5988653926507945,2.5988653926507945,235.63989772575033,90.24836895714945,0,49.25,0.41041666666666665
circle_run029,circle,71,120.0,0.05,8,50.900000000000006,0.19174393235117287,0.4242643084391283,0.32398364123417384,23.000984791109893,1.9918536120846344,2.5320201158208313,2.5320201158208313,238.95894544726062,90.37450355831676,0,50.900000000000006,0.4241666666666667
figure8_run000,figure8,42,120.0,0.05,8,47.6,0.3257524590986632,1.4400620829849076,0.4321159884956119,39.079304692127195,1.8190437796391439,2.8288149321580773,2.454797494374036,218.2236961193379,82.09208927028884,0,47.6,0.39666666666666667
